subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes
leg,machined,15_ankle_cap,ankle cap,,,,,,2,19.32,38.64,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x4 but the source quantity column says 2. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 15_ankle_cap_x4."
leg,machined,16_ankle_0_front_retainer,ankle 0 front retainer,,,,,,1,53.34,53.34,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 16_ankle_0_front_retainer_x2."
leg,machined,17_ankle_0_back_cover,ankle 0 back cover,,,,,,1,76.78,76.78,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 17_ankle_0_back_cover_x2."
leg,machined,18_ankle_1_back_retainer,ankle 1 back retainer,,,,,,1,23.37,23.37,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 18_ankle_1_back_retainer_x2."
leg,machined,19_ankle_1_m02_back_cover,ankle 1 m02 back cover,,,,,,1,49.79,49.79,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 19_ankle_1_m02_back_cover_x2."
leg,machined,20_ankle_1_front_retainer,ankle 1 front retainer,,,,,,1,38.68,38.68,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 20_ankle_1_front_retainer_x2."
leg,machined,21_ankle_1_front_shaft,ankle 1 front shaft,,,,,,2,37.50,75.00,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x4 but the source quantity column says 2. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 21_ankle_1_front_shaft_x4."
leg,machined,22_foot_plate,foot plate,,,,,,1,22.48,22.48,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 22_foot_plate_x2."
leg,machined,CNC_leg01_hip_center_back,hip center back,,,,,,2,81.59,163.18,,CNC,,,,Source part ID: CNC_leg01_x2_hip_center_back.
leg,machined,CNC_leg02_RS03_shaft_coupler,RS03 shaft coupler,,,,,,8,,374.28,,CNC,,,,"Quoted lot price 374.28 does not divide evenly by 8; a unit cost to the cent cannot be derived from the source sheet. DEDUPED: the source sheet carries this part twice as two separately quoted lots (6 pcs at 274.02; 2 pcs at 100.26). Both lots are kept here as one row, so the machined subtotal is unchanged, but the per-robot quantity is NOT confirmed -- the source part name says _x7 while the two lots total 8. Source part ID: CNC_leg02_x7_RS03_shaft_coupler."
leg,machined,CNC_leg03_RS03_shaft_bearing_retainer,RS03 shaft bearing retainer,,,,,,5,49.34,246.7,,CNC,,,,Source part ID: CNC_leg03_x5_RS03_shaft_bearing_retainer.
leg,machined,CNC_leg04_hip_roll_front_bearing_retainer,hip roll front bearing retainer,,,,,,2,48.59,97.18,,CNC,,,,Source part ID: CNC_leg04_x2_hip_roll_front_bearing_retainer.
leg,machined,CNC_leg05_hip_roll_back_bearing_retainer,hip roll back bearing retainer,,,,,,2,68.02,136.04,,CNC,,,,Source part ID: CNC_leg05_x2_hip_roll_back_bearing_retainer.
leg,machined,CNC_leg06_hip_roll_output_shaft,hip roll output shaft,,,,,,2,59.96,119.92,,CNC,,,,Source part ID: CNC_leg06_x2_hip_roll_output_shaft.
leg,machined,CNC_leg07_hip_roll_support_shaft,hip roll support shaft,,,,,,2,57.43,114.86,,CNC,,,,Source part ID: CNC_leg07_x2_hip_roll_support_shaft.
leg,machined,CNC_leg08_knee_front_bearing_retainer,knee front bearing retainer,,,,,,2,54.81,109.62,,CNC,,,,Source part ID: CNC_leg08_x2_knee_front_bearing_retainer.
leg,machined,CNC_leg09_knee_motor_back_cover,knee motor back cover,,,,,,2,81.35,162.7,,CNC,,,,Source part ID: CNC_leg09_x2_knee_motor_back_cover.
leg,machined,CNC_leg10_knee_output_shank,knee output shank,,,,,,2,113.29,226.58,,CNC,,,,Source part ID: CNC_leg10_x2_knee_output_shank.
leg,machined,CNC_leg11_knee_support_shank,knee support shank,,,,,,2,50.05,100.1,,CNC,,,,Source part ID: CNC_leg11_x2_knee_support_shank.
leg,machined,CNC_leg12_lower_leg_bearing,lower leg bearing,,,,,,5,16.50,82.50,,CNC,,,,QUANTITY CONFLICT: the source part name says _x4 but the source quantity column says 5. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Source part ID: CNC_leg12_x4_lower_leg_bearing.
leg,machined,CNC_leg13_ankle_pitch_front,ankle pitch front,,,,,,2,78.82,157.64,,CNC,,,,Source part ID: CNC_leg13_x2_ankle_pitch_front.
leg,machined,CNC_leg14_ankle_pitch_back,ankle pitch back,,,,,,2,95.85,191.7,,CNC,,,,Source part ID: CNC_leg14_x2_ankle_pitch_back.
leg,machined,CNC_leg15_RS06_shaft_bearing_retainer,RS06 shaft bearing retainer,,,,,,2,37.81,75.62,,CNC,,,,Source part ID: CNC_leg15_x2_RS06_shaft_bearing_retainer.
leg,machined,CNC_leg16_ankle_roll_output_shaft,ankle roll output shaft,,,,,,2,39.40,78.8,,CNC,,,,Source part ID: CNC_leg16_x2_ankle_roll_output_shaft.
leg,machined,CNC_leg17_ankle_roll_support_shaft,ankle roll support shaft,,,,,,2,34.60,69.2,,CNC,,,,Source part ID: CNC_leg17_x2_ankle_roll_support_shaft.
leg,machined,CNC_leg18_foot_plate,foot plate,,,,,,2,53.76,107.52,,CNC,,,,Source part ID: CNC_leg18_x2_foot_plate.
arm,machined,CNC_arm01_shoulder_roll_front_bearing,shoulder roll front bearing,,,,,,2,46.69,93.38,,CNC,,,,Source part ID: CNC_arm01_x2_shoulder_roll_front_bearing.
arm,machined,CNC_arm02_shoulder_roll_back_bearing,shoulder roll back bearing,,,,,,2,99.24,198.48,,CNC,,,,Source part ID: CNC_arm02_x2_shoulder_roll_back_bearing.
arm,machined,CNC_arm03_shoulder_roll_output_shaft,shoulder roll output shaft,,,,,,2,31.72,63.44,,CNC,,,,Source part ID: CNC_arm03_x2_shoulder_roll_output_shaft.
arm,machined,CNC_arm04_shoulder_roll_support_shaft,shoulder roll support shaft,,,,,,4,28.78,115.12,,CNC,,,,Source part ID: CNC_arm04_x4_shoulder_roll_support_shaft.
arm,machined,CNC_arm05_RS02_shaft_bearing,RS02 shaft bearing,,,,,,4,30.77,123.08,,CNC,,,,Source part ID: CNC_arm05_x4_RS02_shaft_bearing.
arm,machined,CNC_arm06_RS02_shaft_coupler,RS02 shaft coupler,,,,,,4,36.69,146.76,,CNC,,,,Source part ID: CNC_arm06_x4_RS02_shaft_coupler.
arm,machined,CNC_arm07_elbow_front_bearing,elbow front bearing,,,,,,2,57.94,115.88,,CNC,,,,Source part ID: CNC_arm07_x2_elbow_front_bearing.
arm,machined,CNC_arm08_elbow_back_bearing,elbow back bearing,,,,,,2,65.65,131.30,,CNC,,,,Source part ID: CNC_arm08_x2_elbow_back_bearing.
arm,machined,CNC_arm09_elbow_output_shaft,elbow output shaft,,,,,,2,31.42,62.84,,CNC,,,,Source part ID: CNC_arm09_x2_elbow_output_shaft.
arm,machined,CNC_arm10_r03_back_cover,r03 back cover,,,,,,4,54.25,217.00,,CNC,,,,Source part ID: CNC_arm10_x4_r03_back_cover.
arm,machined,CNC_arm11_wrist_roll,wrist roll,,,,,,2,119.79,239.58,,CNC,,,,Source part ID: CNC_arm11_x2_wrist_roll.
arm,machined,CNC_arm12_wrist_pitch,wrist pitch,,,,,,2,96.26,192.52,,CNC,,,,Source part ID: CNC_arm12_x2_wrist_pitch.
arm,machined,CNC_arm13_RS05_shaft_coupler,RS05 shaft coupler,,,,,,3,36.60,109.8,,CNC,,,,QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 3. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Source part ID: CNC_arm13_x2_RS05_shaft_coupler.
body,machined,B1_body_base_plate,body base plate,,,,,,1,95.01,95.01,,CNC,,,,"B-series numbering, origin unresolved; B4 is absent from the source sheet. Needs a CAD cross-check before ordering. Source part ID: B1_body_base_plate."
body,machined,B2_body_top_plate,body top plate,,,,,,1,126.84,126.84,,CNC,,,,"B-series numbering, origin unresolved; B4 is absent from the source sheet. Needs a CAD cross-check before ordering. Source part ID: B2_body_top_plate."
body,machined,B3_body_side_plate,body side plate,,,,,,2,,198.11,,CNC,,,,"Quoted lot price 198.11 does not divide evenly by 2; a unit cost to the cent cannot be derived from the source sheet. B-series numbering, origin unresolved; B4 is absent from the source sheet. Needs a CAD cross-check before ordering. Source part ID: B3_body_side_plate_x2."
body,machined,B5_body_shelf,body shelf,,,,,,1,93.71,93.71,,CNC,,,,"B-series numbering, origin unresolved; B4 is absent from the source sheet. Needs a CAD cross-check before ordering. Source part ID: B5_body_shelf."
body,machined,CNC_body01_bottom_plate,bottom plate,,,,,,1,64.03,64.03,,CNC,,,,Source part ID: CNC_body01_x1_bottom_plate.
body,machined,CNC_body02_side_plate,side plate,,,,,,2,109.14,218.28,,CNC,,,,Source part ID: CNC_body02_x2_side_plate.
body,machined,CNC_body03_top_plate,top plate,,,,,,1,64.53,64.53,,CNC,,,,Source part ID: CNC_body03_x1_top_plate.
body,machined,CNC_body04_front_plate,front plate,,,,,,4,47.08,188.32,,CNC,,,,Source part ID: CNC_body04_x4_front_plate.
